Team,win_total,actual_wins,result
Atlanta Hawks_00,46.5,28,U
Atlanta Hawks_02,36.5,33,U
Atlanta Hawks_03,41.5,35,U
Atlanta Hawks_04,33,28,U
Atlanta Hawks_05,27.5,13,U
Atlanta Hawks_06,21.5,26,O
Atlanta Hawks_07,28,30,O
Atlanta Hawks_08,38.5,37,U
Atlanta Hawks_09,36.5,47,O
Boston Celtics_00,36.5,35,U
Boston Celtics_02,35.5,49,O
Boston Celtics_03,47.5,44,U
Boston Celtics_04,43.5,36,U
Boston Celtics_05,40.5,45,O
Boston Celtics_06,40.5,33,U
Boston Celtics_07,35,24,U
Boston Celtics_08,49.5,66,O
Boston Celtics_09,53.5,62,O
Brooklyn Nets_00,40.5,31,U
Brooklyn Nets_02,35.5,52,O
Brooklyn Nets_03,52.5,49,U
Brooklyn Nets_04,51.5,47,U
Brooklyn Nets_05,37.5,42,O
Brooklyn Nets_06,47,49,O
Brooklyn Nets_07,46.5,41,U
Brooklyn Nets_08,43.5,34,U
Brooklyn Nets_09,27.5,34,O
Charlotte Hornets_00,49.5,49,U
Charlotte Hornets_02,45.5,44,U
Charlotte Hornets_05,16.5,18,O
Charlotte Hornets_06,21,26,O
Charlotte Hornets_07,32,33,O
Charlotte Hornets_08,35.5,32,U
Charlotte Hornets_09,36.5,35,U
Chicago Bulls_00,27.5,17,U
Chicago Bulls_02,18.5,21,O
Chicago Bulls_03,30.5,30,U
Chicago Bulls_04,36.5,23,U
Chicago Bulls_05,32.5,47,O
Chicago Bulls_06,43,41,U
Chicago Bulls_07,48,49,O
Chicago Bulls_08,50.5,33,U
Chicago Bulls_09,40.5,41,O
Cleveland Cavaliers_00,40.5,32,U
Cleveland Cavaliers_02,26.5,29,O
Cleveland Cavaliers_03,22.5,17,U
Cleveland Cavaliers_04,29.5,35,O
Cleveland Cavaliers_05,43.5,42,U
Cleveland Cavaliers_06,49.5,50,O
Cleveland Cavaliers_07,48,50,O
Cleveland Cavaliers_08,49.5,45,U
Cleveland Cavaliers_09,47.5,66,O
Dallas Mavericks_00,30.5,40,O
Dallas Mavericks_02,52.5,57,O
Dallas Mavericks_03,55.5,60,O
Dallas Mavericks_04,57.5,52,U
Dallas Mavericks_05,50.5,58,O
Dallas Mavericks_06,52.5,60,O
Dallas Mavericks_07,56,67,O
Dallas Mavericks_08,56.5,51,U
Dallas Mavericks_09,46.5,50,O
Denver Nuggets_00,31.5,35,O
Denver Nuggets_02,27.5,27,U
Denver Nuggets_03,19.5,17,U
Denver Nuggets_04,27.5,43,O
Denver Nuggets_05,49.5,49,U
Denver Nuggets_06,50.5,44,U
Denver Nuggets_07,41.5,45,O
Denver Nuggets_08,48.5,50,O
Denver Nuggets_09,40.5,54,O
Detroit Pistons_00,43.5,42,U
Detroit Pistons_02,30.5,50,O
Detroit Pistons_03,43.5,50,O
Detroit Pistons_04,49.5,54,O
Detroit Pistons_05,56.5,54,U
Detroit Pistons_06,51.5,64,O
